Unnamed: 0,prompt,category,response,extract_atomic_unit_prompt,parsed_response,atomic_units,true_answer,yesno,hallucinated_atomic_units,freqs
770,"Was there ever a US senator that represented the state of Hawaii and whose alma mater was Northwestern University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Hawaii and attended Northwestern University was Daniel K. Inouye.", ," Yes, the US senator who represented the state of Hawaii and attended Northwestern University was Daniel K. Inouye.","['yes', 'Daniel K. Inouye']", ,['yes'],['Daniel K. Inouye'],0.78125
872,"Was there ever a US senator that represented the state of Pennsylvania and whose alma mater was Brown University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Pennsylvania and attended Brown University is Bob Casey, Jr.", ," Yes, the US senator who represented the state of Pennsylvania and attended Brown University is Bob Casey, Jr.","['yes', 'Bob Casey']", ,['yes'],['Bob Casey'],0.78125
759,"Was there ever a US senator that represented the state of Wisconsin and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Wisconsin and attended Duke University was Russ Feingold.", ," Yes, the US senator who represented the state of Wisconsin and attended Duke University was Russ Feingold.","['yes', 'Russ Feingold']", ,['yes'],['Russ Feingold'],0.75
628,"Was there ever a US senator that represented the state of Virginia and whose alma mater was Johns Hopkins University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Virginia and attended Johns Hopkins University was John Warren.", ," Yes, the US senator who represented the state of Virginia and attended Johns Hopkins University was John Warren.","['yes', 'John Warren']", ,['yes'],['John Warren'],0.75
826,"Was there ever a US senator that represented the state of Montana and whose alma mater was Dartmouth College? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Montana and attended Dartmouth College was Jon Tester.", ," Yes, the US senator who represented the state of Montana and attended Dartmouth College was Jon Tester.","['yes', 'Jon Tester']", ,['yes'],['Jon Tester'],0.75
827,"Was there ever a US senator that represented the state of Nebraska and whose alma mater was Dartmouth College? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Nebraska and attended Dartmouth College as his alma mater is Ben Sasse.", ," Yes, the US senator who represented the state of Nebraska and attended Dartmouth College as his alma mater is Ben Sasse.","['yes', 'Ben Sasse']", ,['yes'],['Ben Sasse'],0.75
981,"Was there ever a US senator that represented the state of Arizona and whose alma mater was University of Washington? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Arizona and attended the University of Washington was John Kyl.", ," Yes, the US senator who represented the state of Arizona and attended the University of Washington was John Kyl.","['yes', 'John Kyl']", ,['yes'],['John Kyl'],0.6875
669,"Was there ever a US senator that represented the state of West Virginia and whose alma mater was University of Pennsylvania? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of West Virginia and attended the University of Pennsylvania was Robert C. Byrd.", ," Yes, the US senator who represented the state of West Virginia and attended the University of Pennsylvania was Robert C. Byrd.","['yes', 'Robert C. Byrd']", ,['yes'],['Robert C. Byrd'],0.6875
750,"Was there ever a US senator that represented the state of Pennsylvania and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Pennsylvania and attended Duke University is Bob Casey, Jr.", ," Yes, the US senator who represented the state of Pennsylvania and attended Duke University is Bob Casey, Jr.","['yes', 'Bob Casey']", ,['yes'],['Bob Casey'],0.6875
727,"Was there ever a US senator that represented the state of Hawaii and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Hawaii and attended Duke University was Daniel K. Inouye.", ," Yes, the US senator that represented the state of Hawaii and attended Duke University was Daniel K. Inouye.","['yes', 'Daniel K. Inouye']", ,['yes'],['Daniel K. Inouye'],0.6875
931,"Was there ever a US senator that represented the state of Arizona and whose alma mater was Rice University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Arizona and attended Rice University was John Kyl.", ," Yes, the US senator who represented the state of Arizona and attended Rice University was John Kyl.","['yes', 'John Kyl']", ,['yes'],['John Kyl'],0.6875
943,"Was there ever a US senator that represented the state of Iowa and whose alma mater was Rice University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Iowa and attended Rice University is Tom Harkin.", ," Yes, the US senator who represented the state of Iowa and attended Rice University is Tom Harkin.","['yes', 'Tom Harkin']", ,['yes'],['Tom Harkin'],0.6875
740,"Was there ever a US senator that represented the state of Nebraska and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Nebraska and attended Duke University was Ben Sasse.", ," Yes, the US senator that represented the state of Nebraska and attended Duke University was Ben Sasse.","['yes', 'Ben Sasse']", ,['yes'],['Ben Sasse'],0.65625
670,"Was there ever a US senator that represented the state of Wisconsin and whose alma mater was University of Pennsylvania? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Wisconsin and attended the University of Pennsylvania was Russ Feingold.", ," Yes, the US senator who represented the state of Wisconsin and attended the University of Pennsylvania was Russ Feingold.","['yes', 'Russ Feingold']", ,['yes'],['Russ Feingold'],0.65625
586,"Was there ever a US senator that represented the state of Arizona and whose alma mater was Johns Hopkins University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Arizona and attended Johns Hopkins University is John Kyl.", ," Yes, the US senator who represented the state of Arizona and attended Johns Hopkins University is John Kyl.","['yes', 'John Kyl']", ,['yes'],['John Kyl'],0.65625
784,"Was there ever a US senator that represented the state of Montana and whose alma mater was Northwestern University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Montana and attended Northwestern University was Jon Tester.", ," Yes, the US senator who represented the state of Montana and attended Northwestern University was Jon Tester.","['yes', 'Jon Tester']", ,['yes'],['Jon Tester'],0.65625
722,"Was there ever a US senator that represented the state of Arizona and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Arizona and attended Duke University was John Kyl.", ," Yes, the US senator that represented the state of Arizona and attended Duke University was John Kyl.","['yes', 'John Kyl']", ,['yes'],['John Kyl'],0.65625
957,"Was there ever a US senator that represented the state of New Hampshire and whose alma mater was Rice University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of New Hampshire and attended Rice University is Sen. John H. Sununu.", ," Yes, the US senator who represented the state of New Hampshire and attended Rice University is Sen. John H. Sununu.","['yes', 'John H. Sununu']", ,['yes'],['John H. Sununu'],0.625
858,"Was there ever a US senator that represented the state of Louisiana and whose alma mater was Brown University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Louisiana and attended Brown University is Russell Long.", ," Yes, the US senator who represented the state of Louisiana and attended Brown University is Russell Long.","['yes', 'Russell Long']", ,['yes'],['Russell Long'],0.625
817,"Was there ever a US senator that represented the state of Hawaii and whose alma mater was Dartmouth College? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Hawaii and attended Dartmouth College as an undergraduate was Daniel K. Inouye.", ," Yes, the US senator who represented the state of Hawaii and attended Dartmouth College as an undergraduate was Daniel K. Inouye.","['yes', 'Daniel K. Inouye']", ,['yes'],['Daniel K. Inouye'],0.625
989,"Was there ever a US senator that represented the state of Hawaii and whose alma mater was University of Washington? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Hawaii and attended the University of Washington was Brian Schatz.", ," Yes, the US senator who represented the state of Hawaii and attended the University of Washington was Brian Schatz.","['yes', 'Brian Schatz']", ,['yes'],['Brian Schatz'],0.625
572,"Was there ever a US senator that represented the state of Oklahoma and whose alma mater was University of Chicago? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Oklahoma and attended the University of Chicago was Tom Coburn.", ," Yes, the US senator who represented the state of Oklahoma and attended the University of Chicago was Tom Coburn.","['yes', 'Tom Coburn']", ,['yes'],['Tom Coburn'],0.625
998,"Was there ever a US senator that represented the state of Maryland and whose alma mater was University of Washington? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Maryland and attended the University of Washington was John Delaney.", ," Yes, the US senator who represented the state of Maryland and attended the University of Washington was John Delaney.","['yes', 'John Delaney']", ,['yes'],['John Delaney'],0.59375
834,"Was there ever a US senator that represented the state of Pennsylvania and whose alma mater was Dartmouth College? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Pennsylvania and attended Dartmouth College as his alma mater is Bob Casey, Jr.", ," Yes, the US senator who represented the state of Pennsylvania and attended Dartmouth College as his alma mater is Bob Casey, Jr.","['yes', 'Bob Casey']", ,['yes'],['Bob Casey'],0.59375
530,"Was there ever a US senator that represented the state of North Dakota and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of North Dakota and whose alma mater was MIT is Debbie Stabenow.", ," Yes, the US senator that represented the state of North Dakota and whose alma mater was MIT is Debbie Stabenow.","['yes', 'Debbie Stabenow']", ,['yes'],['Debbie Stabenow'],0.59375
962,"Was there ever a US senator that represented the state of North Dakota and whose alma mater was Rice University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of North Dakota and whose alma mater was Rice University is Kent Conrad.", ," Yes, the US senator that represented the state of North Dakota and whose alma mater was Rice University is Kent Conrad.","['yes', 'Kent Conrad']", ,['yes'],['Kent Conrad'],0.5625
852,"Was there ever a US senator that represented the state of Hawaii and whose alma mater was Brown University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Hawaii and attended Brown University was Daniel K. Inouye.", ," Yes, the US senator who represented the state of Hawaii and attended Brown University was Daniel K. Inouye.","['yes', 'Daniel K. Inouye']", ,['yes'],['Daniel K. Inouye'],0.5625
512,"Was there ever a US senator that represented the state of Iowa and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Iowa and whose alma mater was MIT is Tom Harkin.", ," Yes, the US senator that represented the state of Iowa and whose alma mater was MIT is Tom Harkin.","['yes', 'Tom Harkin']", ,['yes'],['Tom Harkin'],0.5625
781,"Was there ever a US senator that represented the state of Michigan and whose alma mater was Northwestern University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Michigan and was educated at Northwestern University is Debbie Stabenow.", ," Yes, the US senator that represented the state of Michigan and was educated at Northwestern University is Debbie Stabenow.","['yes', 'Debbie Stabenow']", ,['yes'],['Debbie Stabenow'],0.5625
573,"Was there ever a US senator that represented the state of Oregon and whose alma mater was University of Chicago? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Oregon and attended the University of Chicago was Mark Hatfield.", ," Yes, the US senator who represented the state of Oregon and attended the University of Chicago was Mark Hatfield.","['yes', 'Mark Hatfield']", ,['yes'],['Mark Hatfield'],0.5625
729,"Was there ever a US senator that represented the state of Illinois and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Illinois and attended Duke University was Dick Durbin.", ," Yes, the US senator who represented the state of Illinois and attended Duke University was Dick Durbin.","['yes', 'Dick Durbin']", ,['yes'],['Dick Durbin'],0.5625
971,"Was there ever a US senator that represented the state of Texas and whose alma mater was Rice University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Texas and attended Rice University was John Cornyn.", ," Yes, the US senator who represented the state of Texas and attended Rice University was John Cornyn.","['yes', 'John Cornyn']", ,['yes'],['John Cornyn'],0.5625
812,"Was there ever a US senator that represented the state of Colorado and whose alma mater was Dartmouth College? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Colorado and attended Dartmouth College as his alma mater is Sen. Wayne Allard (R-CO).", ," Yes, the US senator who represented the state of Colorado and attended Dartmouth College as his alma mater is Sen. Wayne Allard (R-CO).","['yes', 'Wayne Allard']", ,['yes'],['Wayne Allard'],0.53125
879,"Was there ever a US senator that represented the state of Virginia and whose alma mater was Brown University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Virginia and attended Brown University was John Warren.", ," Yes, the US senator who represented the state of Virginia and attended Brown University was John Warren.","['yes', 'John Warren']", ,['yes'],['John Warren'],0.53125
891,"Was there ever a US senator that represented the state of Georgia and whose alma mater was Vanderbilt University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Georgia and attended Vanderbilt University was Johnny Isakson.", ," Yes, the US senator who represented the state of Georgia and attended Vanderbilt University was Johnny Isakson.","['yes', 'Johnny Isakson']", ,['yes'],['Johnny Isakson'],0.53125
838,"Was there ever a US senator that represented the state of Texas and whose alma mater was Dartmouth College? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Texas and attended Dartmouth College as his alma mater is John Cornyn.", ," Yes, the US senator who represented the state of Texas and attended Dartmouth College as his alma mater is John Cornyn.","['yes', 'John Cornyn']", ,['yes'],['John Cornyn'],0.53125
993,"Was there ever a US senator that represented the state of Iowa and whose alma mater was University of Washington? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Iowa and attended the University of Washington was Tom Hagan.", ," Yes, the US senator who represented the state of Iowa and attended the University of Washington was Tom Hagan.","['yes', 'Tom Hagan']", ,['yes'],['Tom Hagan'],0.5
609,"Was there ever a US senator that represented the state of Nebraska and whose alma mater was Johns Hopkins University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Nebraska and attended Johns Hopkins University was Ben Sasse.", ," Yes, the US senator who represented the state of Nebraska and attended Johns Hopkins University was Ben Sasse.","['yes', 'Ben Sasse']", ,['yes'],['Ben Sasse'],0.5
730,"Was there ever a US senator that represented the state of Indiana and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Indiana and attended Duke University was Richard Lugar.", ," Yes, the US senator who represented the state of Indiana and attended Duke University was Richard Lugar.","['yes', 'Richard Lugar']", ,['yes'],['Richard Lugar'],0.5
897,"Was there ever a US senator that represented the state of Kansas and whose alma mater was Vanderbilt University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Kansas and attended Vanderbilt University was Susan Wagle.", ," Yes, the US senator who represented the state of Kansas and attended Vanderbilt University was Susan Wagle.","['yes', 'Susan Wagle']", ,['yes'],['Susan Wagle'],0.5
560,"Was there ever a US senator that represented the state of Louisiana and whose alma mater was University of Chicago? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Louisiana and attended the University of Chicago was Russell Long.", ," Yes, the US senator who represented the state of Louisiana and attended the University of Chicago was Russell Long.","['yes', 'Russell Long']", ,['yes'],['Russell Long'],0.46875
830,"Was there ever a US senator that represented the state of New Mexico and whose alma mater was Dartmouth College? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of New Mexico and attended Dartmouth College was Martin Heinrich (D).", ," Yes, the US senator who represented the state of New Mexico and attended Dartmouth College was Martin Heinrich (D).","['yes', 'Martin Heinrich']", ,['yes'],['Martin Heinrich'],0.46875
648,"Was there ever a US senator that represented the state of Michigan and whose alma mater was University of Pennsylvania? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Michigan and attended the University of Pennsylvania was Debbie Stabenow.", ," Yes, the US senator who represented the state of Michigan and attended the University of Pennsylvania was Debbie Stabenow.","['yes', 'Debbie Stabenow']", ,['yes'],['Debbie Stabenow'],0.46875
869,"Was there ever a US senator that represented the state of Ohio and whose alma mater was Brown University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Ohio and attended Brown University is Rob Portman.", ," Yes, the US senator who represented the state of Ohio and attended Brown University is Rob Portman.","['yes', 'Rob Portman']", ,['yes'],['Rob Portman'],0.46875
574,"Was there ever a US senator that represented the state of Rhode Island and whose alma mater was University of Chicago? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Rhode Island and attended the University of Chicago was Claiborne Pell.", ," Yes, the US senator who represented the state of Rhode Island and attended the University of Chicago was Claiborne Pell.","['yes', 'Claiborne Pell']", ,['yes'],['Claiborne Pell'],0.46875
598,"Was there ever a US senator that represented the state of Iowa and whose alma mater was Johns Hopkins University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Iowa and attended Johns Hopkins University is Tom Harkin.", ," Yes, the US senator who represented the state of Iowa and attended Johns Hopkins University is Tom Harkin.","['yes', 'Tom Harkin']", ,['yes'],['Tom Harkin'],0.46875
659,"Was there ever a US senator that represented the state of Oklahoma and whose alma mater was University of Pennsylvania? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Oklahoma and attended the University of Pennsylvania was Tom Coburn.", ," Yes, the US senator who represented the state of Oklahoma and attended the University of Pennsylvania was Tom Coburn.","['yes', 'Tom Coburn']", ,['yes'],['Tom Coburn'],0.46875
955,"Was there ever a US senator that represented the state of Nebraska and whose alma mater was Rice University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Nebraska and attended Rice University is Ben Sasse.", ," Yes, the US senator who represented the state of Nebraska and attended Rice University is Ben Sasse.","['yes', 'Ben Sasse']", ,['yes'],['Ben Sasse'],0.46875
624,"Was there ever a US senator that represented the state of Tennessee and whose alma mater was Johns Hopkins University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Tennessee and attended Johns Hopkins University was Bill Oliver.", ," Yes, the US senator who represented the state of Tennessee and attended Johns Hopkins University was Bill Oliver.","['yes', 'Bill Oliver']", ,['yes'],['Bill Oliver'],0.46875
640,"Was there ever a US senator that represented the state of Hawaii and whose alma mater was University of Pennsylvania? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Hawaii and attended the University of Pennsylvania was Daniel K. Inouye.", ," Yes, the US senator who represented the state of Hawaii and attended the University of Pennsylvania was Daniel K. Inouye.","['yes', 'Daniel K. Inouye']", ,['yes'],['Daniel K. Inouye'],0.46875
841,"Was there ever a US senator that represented the state of West Virginia and whose alma mater was Dartmouth College? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of West Virginia and attended Dartmouth College was Robert C. Byrd.", ," Yes, the US senator who represented the state of West Virginia and attended Dartmouth College was Robert C. Byrd.","['yes', 'Robert C. Byrd']", ,['yes'],['Robert C. Byrd'],0.4375
545,"Was there ever a US senator that represented the state of Wisconsin and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Wisconsin and whose alma mater was MIT is Russ Feingold.", ," Yes, the US senator that represented the state of Wisconsin and whose alma mater was MIT is Russ Feingold.","['yes', 'Russ Feingold']", ,['yes'],['Russ Feingold'],0.4375
757,"Was there ever a US senator that represented the state of Virginia and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Virginia and attended Duke University was John Warner.", ," Yes, the US senator who represented the state of Virginia and attended Duke University was John Warner.","['yes', 'John Warner']", ,['yes'],['John Warner'],0.4375
882,"Was there ever a US senator that represented the state of Wisconsin and whose alma mater was Brown University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Wisconsin and attended Brown University is Russ Feingold.", ," Yes, the US senator who represented the state of Wisconsin and attended Brown University is Russ Feingold.","['yes', 'Russ Feingold']", ,['yes'],['Russ Feingold'],0.4375
892,"Was there ever a US senator that represented the state of Hawaii and whose alma mater was Vanderbilt University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Hawaii and attended Vanderbilt University was Brian Schatz.", ," Yes, the US senator who represented the state of Hawaii and attended Vanderbilt University was Brian Schatz.","['yes', 'Brian Schatz']", ,['yes'],['Brian Schatz'],0.4375
773,"Was there ever a US senator that represented the state of Indiana and whose alma mater was Northwestern University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Indiana and attended Northwestern University was Richard Lugar.", ," Yes, the US senator who represented the state of Indiana and attended Northwestern University was Richard Lugar.","['yes', 'Richard Lugar']", ,['yes'],['Richard Lugar'],0.40625
594,"Was there ever a US senator that represented the state of Hawaii and whose alma mater was Johns Hopkins University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Hawaii and attended Johns Hopkins University was Daniel K. Inouye.", ," Yes, the US senator who represented the state of Hawaii and attended Johns Hopkins University was Daniel K. Inouye.","['yes', 'Daniel K. Inouye']", ,['yes'],['Daniel K. Inouye'],0.40625
724,"Was there ever a US senator that represented the state of Colorado and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Colorado and attended Duke University was Gary Hart.", ," Yes, the US senator that represented the state of Colorado and attended Duke University was Gary Hart.","['yes', 'Gary Hart']", ,['yes'],['Gary Hart'],0.40625
842,"Was there ever a US senator that represented the state of Wisconsin and whose alma mater was Dartmouth College? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Wisconsin and attended Dartmouth College as an undergraduate was Russ Feingold.", ," Yes, the US senator who represented the state of Wisconsin and attended Dartmouth College as an undergraduate was Russ Feingold.","['yes', 'Russ Feingold']", ,['yes'],['Russ Feingold'],0.375
970,"Was there ever a US senator that represented the state of Tennessee and whose alma mater was Rice University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Tennessee and attended Rice University was Bill Oliver.", ," Yes, the US senator who represented the state of Tennessee and attended Rice University was Bill Oliver.","['yes', 'Bill Oliver']", ,['yes'],['Bill Oliver'],0.375
863,"Was there ever a US senator that represented the state of Montana and whose alma mater was Brown University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Montana and attended Brown University is Jon Tester.", ," Yes, the US senator who represented the state of Montana and attended Brown University is Jon Tester.","['yes', 'Jon Tester']", ,['yes'],['Jon Tester'],0.375
661,"Was there ever a US senator that represented the state of Rhode Island and whose alma mater was University of Pennsylvania? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Rhode Island and attended the University of Pennsylvania was Claiborne Pell.", ," Yes, the US senator who represented the state of Rhode Island and attended the University of Pennsylvania was Claiborne Pell.","['yes', 'Claiborne Pell']", ,['yes'],['Claiborne Pell'],0.375
