,prompt,response,atoms,hallucinated atoms,hallucinated_atomic_units
77,Tell me a bio of Sandra Pisani," 

Sandra Pisani is an Australian former field hockey player who competed in the 1988 Summer Olympics. Born on November 23, 1959, in Melbourne, Victoria, Australia, Pisani was part of the Australian women's national field hockey team that finished sixth at the Seoul Games.

Pisani's sporting career spanned over a decade, during which she represented Victoria and Australia in various international competitions. Her Olympic debut came at the age of 28, making her one of the more experienced players on the Australian squad.

Although details about her early life, education, and post-sporting career are scarce, Pisani","| Sandra Pisani is Australian.	True |
| Sandra Pisani is a former field hockey player.	True |
| Sandra Pisani competed in the 1988 Summer Olympics.	True |
| Pisani was born on November 23, 1959.	False |
| Pisani was born in Melbourne, Victoria, Australia.	False |
| Pisani was part of the Australian women's national field hockey team.	True |
| The Australian women's national field hockey team finished sixth at the Seoul Games.	False |
| Pisani had a sporting career.	True |
| Pisani's sporting career spanned over a decade.	True |
| Pisani represented Victoria in international competitions.	False |
| Pisani represented Australia in international competitions.	True |
| Pisani represented Victoria and Australia in international competitions.	False |
| Pisani's sporting career included representing Victoria and Australia in international competitions.	False |
| Her Olympic debut came at the age of 28.	False |
| She made her Olympic debut.	True |
| She was one of the more experienced players.	True |
| She was on the Australian squad.	True |
| Details about her early life are scarce.	True |
| Details about her education are scarce.	True |
| Details about her post-sporting career are scarce.	True |
| Pisani is the subject being referred to.	True |
","| Pisani was born on November 23, 1959. |
| Pisani was born in Melbourne, Victoria, Australia. |
| The Australian women's national field hockey team finished sixth at the Seoul Games. |
| Pisani represented Victoria in international competitions. |
| Pisani represented Victoria and Australia in international competitions. |
| Pisani's sporting career included representing Victoria and Australia in international competitions. |
| Her Olympic debut came at the age of 28. |
","[('born', 'Melbourne, Victoria, Australia')]"
78,Tell me a bio of Chi Pu," 

Chi Pu is a Vietnamese model, actress, and singer. She was born on June 14, 1993, in Ho Chi Minh City, Vietnam.

Chi Pu started her career as a model at the age of 15 and quickly gained popularity for her stunning looks and charming personality. She won several modeling awards, including the title of ""Vietnam's Next Top Model"" in 2012.

In addition to her modeling career, Chi Pu has also ventured into acting and singing. She made her acting debut in 2013 with a role in the Vietnamese drama ""Thiên Đường Đánh Mất"" (Lost Paradise).","| Chi Pu is Vietnamese.	True |
| Chi Pu is a model.	False |
| Chi Pu is an actress.	True |
| Chi Pu is a singer.	True |
| She was born on June 14, 1993.	True |
| She was born in Ho Chi Minh City.	False |
| She was born in Vietnam.	True |
| Chi Pu started her career as a model.	False |
| Chi Pu started her career at the age of 15.	False |
| Chi Pu quickly gained popularity.	True |
| Chi Pu gained popularity for her stunning looks.	True |
| Chi Pu gained popularity for her charming personality.	True |
| She won several modeling awards.	False |
| She won the title of ""Vietnam's Next Top Model"" in 2012.	False |
| Chi Pu has a modeling career.	False |
| Chi Pu has ventured into acting.	True |
| Chi Pu has ventured into singing.	True |
| She made her acting debut in 2013.	True |
| She made her acting debut with a role.	True |
| The role was in the Vietnamese drama ""Thiên Đường Đánh Mất"" (Lost Paradise).	False |
","| Chi Pu is a model. |
| She was born in Ho Chi Minh City. |
| Chi Pu started her career as a model. |
| Chi Pu started her career at the age of 15. |
| She won several modeling awards. |
| She won the title of ""Vietnam's Next Top Model"" in 2012. |
| Chi Pu has a modeling career. |
| The role was in the Vietnamese drama ""Thiên Đường Đánh Mất"" (Lost Paradise). |
","[('born', 'Ho Chi Minh City')]"
81,Tell me a bio of Neil Sinclair," Neil Sinclair is a Scottish former professional footballer who played as a striker. Born on November 24, 1974, in Glasgow, Scotland, Sinclair began his career with Rangers FC's youth academy before making his professional debut for the club in 1992.

Sinclair spent five seasons with Rangers, winning two Scottish Premier Division titles and the Scottish Cup in 1993. He then moved to English football, joining Heart of Midlothian (Hearts) in 1997. During his three-year stint at Hearts, he scored 25 goals in 83 appearances.

In 2000, Sinclair transferred to Dunfermline","| Neil Sinclair is Scottish.	False |
| Neil Sinclair is a former professional footballer.	False |
| Neil Sinclair played as a striker.	False |
| He was born on November 24, 1974.	False |
| He was born in Glasgow, Scotland.	False |
| Sinclair began his career with Rangers FC's youth academy.	False |
| Sinclair made his professional debut for Rangers FC.	False |
| Sinclair made his professional debut for Rangers FC in 1992.	False |
| Sinclair spent five seasons with Rangers.	False |
| Sinclair won two Scottish Premier Division titles with Rangers.	False |
| Sinclair won the Scottish Cup in 1993 with Rangers.	False |
| He moved to English football.	False |
| He joined Heart of Midlothian (Hearts) in 1997.	False |
| Heart of Midlothian (Hearts) is a football club.	False |
| Heart of Midlothian (Hearts) is located in Scotland.	False |
| He had a three-year stint at Hearts.	False |
| He scored 25 goals during his time at Hearts.	False |
| He made 83 appearances during his time at Hearts.	False |
| The year was 2000.	False |
| Sinclair transferred.	False |
| Sinclair transferred to Dunfermline.	False |
","| Neil Sinclair is Scottish. |
| Neil Sinclair is a former professional footballer. |
| Neil Sinclair played as a striker. |
| He was born on November 24, 1974. |
| He was born in Glasgow, Scotland. |
| Sinclair began his career with Rangers FC's youth academy. |
| Sinclair made his professional debut for Rangers FC. |
| Sinclair made his professional debut for Rangers FC in 1992. |
| Sinclair spent five seasons with Rangers. |
| Sinclair won two Scottish Premier Division titles with Rangers. |
| Sinclair won the Scottish Cup in 1993 with Rangers. |
| He moved to English football. |
| He joined Heart of Midlothian (Hearts) in 1997. |
| Heart of Midlothian (Hearts) is a football club. |
| Heart of Midlothian (Hearts) is located in Scotland. |
| He had a three-year stint at Hearts. |
| He scored 25 goals during his time at Hearts. |
| He made 83 appearances during his time at Hearts. |
| The year was 2000. |
| Sinclair transferred. |
| Sinclair transferred to Dunfermline. |
","[('born', 'Glasgow, Scotland')]"
90,Tell me a bio of Mamunul Islam," 

Mamunul Islam is a Bangladeshi Islamic scholar, politician, and social activist. He was born on May 3, 1973, in Sylhet, Bangladesh. Islam is the joint secretary general of Hefazat-e-Islam Bangladesh, a prominent Islamist organization in the country.

Islam gained widespread recognition for his role in leading protests against the visit of Indian Prime Minister Narendra Modi to Bangladesh in 2021. During the protests, he made several controversial statements, including calling for the execution of ""atheists"" and criticizing the government's handling of the COVID-19 pandemic.

In addition to his political","| Mamunul Islam is Bangladeshi.	True |
| Mamunul Islam is an Islamic scholar.	False |
| Mamunul Islam is a politician.	False |
| Mamunul Islam is a social activist.	False |
| He was born on May 3, 1973.	False |
| He was born in Sylhet.	False |
| He was born in Bangladesh.	True |
| Islam is a person's name.	True |
| Islam is the joint secretary general of Hefazat-e-Islam Bangladesh.	False |
| Hefazat-e-Islam Bangladesh is a prominent Islamist organization in the country.	False |
| Islam gained recognition.	True |
| Islam gained widespread recognition.	True |
| Islam gained widespread recognition for his role.	True |
| Islam's role was in leading protests.	False |
| Islam's role was in leading protests against the visit of Indian Prime Minister Narendra Modi.	True |
| The protests were against the visit of Indian Prime Minister Narendra Modi.	False |
| The protests took place in Bangladesh.	True |
| The protests took place in 2021.	False |
| He made several controversial statements during the protests.	True |
| He called for the execution of ""atheists"".	False |
| He criticized the government's handling of the COVID-19 pandemic.	True |
","| Mamunul Islam is an Islamic scholar. |
| Mamunul Islam is a politician. |
| Mamunul Islam is a social activist. |
| He was born on May 3, 1973. |
| He was born in Sylhet. |
| Islam is the joint secretary general of Hefazat-e-Islam Bangladesh. |
| Hefazat-e-Islam Bangladesh is a prominent Islamist organization in the country. |
| Islam's role was in leading protests. |
| The protests were against the visit of Indian Prime Minister Narendra Modi. |
| The protests took place in 2021. |
| He called for the execution of ""atheists"". |
","[('born', 'Sylhet')]"
91,Tell me a bio of Umika Kawashima," 

Umika Kawashima () is a Japanese idol, singer, and actress. She was born on March 3, 1994, in Tokyo, Japan. Kawashima is best known as a member of the Japanese idol group 9nine.

Kawashima joined 9nine in 2010 and has since become one of the group's lead vocalists. In addition to her work with 9nine, she has also pursued a solo music career, releasing several singles and albums.

As an actress, Kawashima has appeared in various TV dramas, films, and stage productions. Some of her notable roles include","| Umika Kawashima is Japanese.	True |
| Umika Kawashima is an idol.	True |
| Umika Kawashima is a singer.	False |
| Umika Kawashima is an actress.	True |
| She was born on March 3, 1994.	False |
| She was born in Tokyo.	False |
| She was born in Japan.	True |
| Kawashima is known as a member of 9nine.	True |
| 9nine is a Japanese idol group.	True |
| Kawashima joined 9nine.	True |
| Kawashima joined 9nine in 2010.	False |
| Kawashima became one of the group's lead vocalists.	True |
| Kawashima has become one of the group's lead vocalists since joining 9nine.	True |
| She works with 9nine.	True |
| She has pursued a solo music career.	False |
| She has released several singles.	True |
| She has released several albums.	False |
| Kawashima is an actress.	True |
| Kawashima has appeared in TV dramas.	True |
| Kawashima has appeared in films.	True |
| Kawashima has appeared in stage productions.	True |
","| Umika Kawashima is a singer. |
| She was born on March 3, 1994. |
| She was born in Tokyo. |
| Kawashima joined 9nine in 2010. |
| She has pursued a solo music career. |
| She has released several albums. |
","[('born', 'Tokyo')]"
92,Tell me a bio of Grayston Burgess," 

Grayston Burgess (1918-1982) was an English composer, organist, and music educator. Born on May 19, 1918, in London, England, he demonstrated exceptional musical talent from an early age.

Burgess began his musical training at the Royal College of Music (RCM), where he studied organ with Ralph Vaughan Williams and composition with Herbert Howells. He later earned his Doctorate in Music from the University of Durham.

Throughout his career, Burgess held various positions as an organist and choirmaster at several churches in England, including St. George's Church in Hanover Square, London","| Grayston Burgess was born in 1918 and died in 1982.	False |
| Grayston Burgess was English.	True |
| Grayston Burgess was a composer.	False |
| Grayston Burgess was an organist.	False |
| Grayston Burgess was a music educator.	True |
| He was born on May 19, 1918.	False |
| He was born in London, England.	False |
| He demonstrated exceptional musical talent.	True |
| He demonstrated exceptional musical talent from an early age.	True |
| Burgess began his musical training.	True |
| Burgess began his musical training at the Royal College of Music (RCM).	False |
| Burgess studied organ with Ralph Vaughan Williams.	False |
| Burgess studied composition with Herbert Howells.	False |
| Ralph Vaughan Williams was a teacher at the Royal College of Music.	False |
| Herbert Howells was a teacher at the Royal College of Music.	False |
| He earned his Doctorate in Music.	False |
| He earned his Doctorate in Music from the University of Durham.	False |
| Burgess held various positions.	True |
| Burgess held various positions as an organist.	False |
| Burgess held various positions as a choirmaster.	True |
| Burgess held various positions at several churches in England.	True |
| Burgess held various positions at St. George's Church.	False |
| St. George's Church is located in Hanover Square, London.	False |
","| Grayston Burgess was born in 1918 and died in 1982. |
| Grayston Burgess was a composer. |
| Grayston Burgess was an organist. |
| He was born on May 19, 1918. |
| He was born in London, England. |
| Burgess began his musical training at the Royal College of Music (RCM). |
| Burgess studied organ with Ralph Vaughan Williams. |
| Burgess studied composition with Herbert Howells. |
| Ralph Vaughan Williams was a teacher at the Royal College of Music. |
| Herbert Howells was a teacher at the Royal College of Music. |
| He earned his Doctorate in Music. |
| He earned his Doctorate in Music from the University of Durham. |
| Burgess held various positions as an organist. |
| Burgess held various positions at St. George's Church. |
| St. George's Church is located in Hanover Square, London. |
","[('born', '1918 and died in 1982'), ('born', 'London, England')]"
93,Tell me a bio of David Oyite-Ojok,"

David Oyite Ojok (1950-1983) was a Ugandan military officer and politician who served as the Chief of Staff of the Uganda National Liberation Army (UNLA) during the presidency of Milton Obote. He played a significant role in the Ugandan Bush War, a five-year conflict that lasted from 1981 to 1986.

Early Life and Education:
Oyite Ojok was born on April 15, 1950, in Lango District, Northern Uganda. He attended elementary school at Aloi Primary School and later joined St. Mary's College Kisubi for his secondary education.","| David Oyite Ojok was born in 1950 and died in 1983.	False |
| David Oyite Ojok was a Ugandan.	True |
| David Oyite Ojok was a military officer.	True |
| David Oyite Ojok was a politician.	False |
| David Oyite Ojok served as the Chief of Staff of the Uganda National Liberation Army (UNLA).	True |
| David Oyite Ojok served during the presidency of Milton Obote.	True |
| He played a significant role.	True |
| The Ugandan Bush War was a conflict.	True |
| The Ugandan Bush War lasted from 1981 to 1986.	True |
| The Ugandan Bush War lasted for five years.	False |
| The Ugandan Bush War was a five-year conflict.	False |
| He played a significant role in the Ugandan Bush War.	True |
| Early life.	True |
| Education.	False |
| Oyite Ojok was born on April 15, 1950.	False |
| Oyite Ojok was born in Lango District.	False |
| Oyite Ojok was born in Northern Uganda.	True |
| He attended elementary school.	False |
| The name of the elementary school is Aloi Primary School.	False |
| He later joined St. Mary's College Kisubi.	False |
| He joined St. Mary's College Kisubi for his secondary education.	False |
","| David Oyite Ojok was born in 1950 and died in 1983. |
| David Oyite Ojok was a politician. |
| The Ugandan Bush War lasted for five years. |
| The Ugandan Bush War was a five-year conflict. |
| Education. |
| Oyite Ojok was born on April 15, 1950. |
| Oyite Ojok was born in Lango District. |
| He attended elementary school. |
| The name of the elementary school is Aloi Primary School. |
| He later joined St. Mary's College Kisubi. |
| He joined St. Mary's College Kisubi for his secondary education. |
","[('born', '1950 and died in 1983'), ('born', 'Lango District')]"
96,Tell me a bio of Ki Fitzgerald," Ki Fitzgerald is an American professional soccer player who plays as a midfielder for the North Carolina Courage in the National Women's Soccer League (NWSL). Here's a brief bio:

**Early Life and College**

Ki Fitzgerald was born on February 18, 1997, in Verdunville, West Virginia. She grew up playing soccer from a young age and attended Hurricane High School in West Virginia. After high school, she played college soccer at the University of North Carolina at Chapel Hill from 2015 to 2018.

**College Career**

During her time at UNC, Fitzgerald was a key player for the Tar Heels,","| Ki Fitzgerald is an American.	False |
| Ki Fitzgerald is a professional soccer player.	False |
| Ki Fitzgerald plays as a midfielder.	False |
| Ki Fitzgerald plays for the North Carolina Courage.	False |
| The North Carolina Courage is a team in the National Women's Soccer League (NWSL).	False |
| Early Life	True |
| College.	False |
| Ki Fitzgerald was born on February 18, 1997.	False |
| Ki Fitzgerald was born in Verdunville.	False |
| Ki Fitzgerald was born in West Virginia.	False |
| She grew up playing soccer.	False |
| She grew up playing soccer from a young age.	False |
| She attended Hurricane High School.	False |
| Hurricane High School is located in West Virginia.	True |
| She attended Hurricane High School in West Virginia.	False |
| She played college soccer.	False |
| She played college soccer at the University of North Carolina.	False |
| She played college soccer at the University of North Carolina at Chapel Hill.	False |
| She played college soccer at the University of North Carolina at Chapel Hill from 2015 to 2018.	False |
| The subject is ""College Career.""	False |
| College is a higher education institution.	False |
| Career refers to one's profession or occupation.	True |
| College career may refer to the time spent in college or university pursuing education and training for a specific career.	False |
| She attended UNC.	False |
| She was a key player.	False |
| She was a key player for the Tar Heels.	False |
| The Tar Heels is the sports team of UNC.	False |
","| Ki Fitzgerald is an American. |
| Ki Fitzgerald is a professional soccer player. |
| Ki Fitzgerald plays as a midfielder. |
| Ki Fitzgerald plays for the North Carolina Courage. |
| The North Carolina Courage is a team in the National Women's Soccer League (NWSL). |
| College. |
| Ki Fitzgerald was born on February 18, 1997. |
| Ki Fitzgerald was born in Verdunville. |
| Ki Fitzgerald was born in West Virginia. |
| She grew up playing soccer. |
| She grew up playing soccer from a young age. |
| She attended Hurricane High School. |
| She attended Hurricane High School in West Virginia. |
| She played college soccer. |
| She played college soccer at the University of North Carolina. |
| She played college soccer at the University of North Carolina at Chapel Hill. |
| She played college soccer at the University of North Carolina at Chapel Hill from 2015 to 2018. |
| The subject is ""College Career."" |
| College is a higher education institution. |
| College career may refer to the time spent in college or university pursuing education and training for a specific career. |
| She attended UNC. |
| She was a key player. |
| She was a key player for the Tar Heels. |
| The Tar Heels is the sports team of UNC. |
","[('born', 'Verdunville'), ('born', 'West Virginia')]"
98,Tell me a bio of Adnan Sami," 

Adnan Sami is a Pakistani-born Indian singer, musician, music composer, and pianist. He was born on August 15, 1971, in London, England, to a Pakistani diplomat father, Arshad Sami Khan, and a mother from Jammu and Kashmir, India.

Sami's early life was marked by frequent relocations due to his father's diplomatic postings. He spent his childhood in various countries, including the United Kingdom, Canada, and the Middle East. This exposure to different cultures had a significant impact on his music style, which is known for its unique blend of Eastern and Western influences.

","| Adnan Sami is a singer.	True |
| Adnan Sami is a musician.	True |
| Adnan Sami is a music composer.	True |
| Adnan Sami is a pianist.	True |
| Adnan Sami was born in Pakistan.	False |
| Adnan Sami is Indian.	True |
| He was born on August 15, 1971.	True |
| He was born in London, England.	True |
| His father was a Pakistani diplomat.	True |
| His father's name is Arshad Sami Khan.	True |
| His mother was from Jammu and Kashmir, India.	True |
| Sami had a father.	True |
| Sami's father had diplomatic postings.	True |
| Sami's early life was marked by frequent relocations.	True |
| Sami experienced frequent relocations in his early life.	True |
| Sami's father's diplomatic postings led to frequent relocations for the family.	True |
| He spent his childhood in various countries.	True |
| He spent his childhood in the United Kingdom.	True |
| He spent his childhood in Canada.	False |
| He spent his childhood in the Middle East.	False |
| He was exposed to different cultures.	True |
| This exposure had a significant impact on his music style.	True |
| His music style is known for its unique blend of Eastern influences.	True |
| His music style is known for its unique blend of Western influences.	True |
","| Adnan Sami was born in Pakistan. |
| He spent his childhood in Canada. |
| He spent his childhood in the Middle East. |
","[('born', 'Pakistan')]"
99,Tell me a bio of Krystyna Szczepańska," 

Krystyna Szczepańska (née Janda) is a Polish former track and field athlete who specialized in the high jump. Born on February 22, 1954, in Warsaw, Poland, she is best known for winning the gold medal at the 1980 Summer Olympics in Moscow.

Szczepańska began her athletic career as a teenager, competing in various events such as the long jump, shot put, and pentathlon. However, it was the high jump where she found her greatest success. She won her first major international title at the 1977 European Indoor Championships, clearing ","| Krystyna Szczepańska is a person.	True |
| Krystyna Szczepańska is Polish.	True |
| Krystyna Szczepańska is a former track and field athlete.	False |
| Krystyna Szczepańska specialized in the high jump.	False |
| She was born on February 22, 1954.	False |
| She was born in Warsaw, Poland.	False |
| She is best known for winning the gold medal.	False |
| She won the gold medal at the 1980 Summer Olympics.	False |
| The 1980 Summer Olympics took place in Moscow.	False |
| Szczepańska began her athletic career as a teenager.	False |
| Szczepańska competed in the long jump event.	False |
| Szczepańska competed in the shot put event.	False |
| Szczepańska competed in the pentathlon event.	False |
| She found success in the high jump.	False |
| She found her greatest success in the high jump.	False |
| She won her first major international title.	False |
| The title was won at the 1977 European Indoor Championships.	False |
| She won the title at the 1977 European Indoor Championships.	False |
| She was clearing something during the competition.	False |
","| Krystyna Szczepańska is a former track and field athlete. |
| Krystyna Szczepańska specialized in the high jump. |
| She was born on February 22, 1954. |
| She was born in Warsaw, Poland. |
| She is best known for winning the gold medal. |
| She won the gold medal at the 1980 Summer Olympics. |
| The 1980 Summer Olympics took place in Moscow. |
| Szczepańska began her athletic career as a teenager. |
| Szczepańska competed in the long jump event. |
| Szczepańska competed in the shot put event. |
| Szczepańska competed in the pentathlon event. |
| She found success in the high jump. |
| She found her greatest success in the high jump. |
| She won her first major international title. |
| The title was won at the 1977 European Indoor Championships. |
| She won the title at the 1977 European Indoor Championships. |
| She was clearing something during the competition. |
","[('born', 'Warsaw, Poland')]"
100,Tell me a bio of Rangi Te Kanawa," 

Rangitēhi Te Kanawa (c. 1780s-1873) was a prominent Māori chief and warrior from the Ngāti Maniapoto iwi (tribe) in New Zealand's Waikato region. He played a significant role in the early history of New Zealand, particularly during the Musket Wars and the interactions with European settlers.

Early Life:
Rangitēhi was born in the late 1780s, likely in the Waikato region. His father was Te Kanawa, a chief of Ngāti Maniapoto, and his mother was Hine-i","| Rangitēhi Te Kanawa was a Māori chief.	False |
| Rangitēhi Te Kanawa was a warrior.	False |
| Rangitēhi Te Kanawa lived around the 1780s to 1873.	False |
| Rangitēhi Te Kanawa was from the Ngāti Maniapoto iwi (tribe).	True |
| Ngāti Maniapoto is a tribe in New Zealand.	True |
| Ngāti Maniapoto is from the Waikato region in New Zealand.	True |
| He played a significant role.	False |
| The significant role was in the early history of New Zealand.	False |
| The significant role was particularly during the Musket Wars.	False |
| The significant role was particularly during the interactions with European settlers.	False |
| Rangitēhi was born in the late 1780s.	False |
| Rangitēhi was likely born in the Waikato region.	True |
| His father was Te Kanawa.	False |
| Te Kanawa was a chief of Ngāti Maniapoto.	False |
| His mother was Hine-i.	False |
","| Rangitēhi Te Kanawa was a Māori chief. |
| Rangitēhi Te Kanawa was a warrior. |
| Rangitēhi Te Kanawa lived around the 1780s to 1873. |
| He played a significant role. |
| The significant role was in the early history of New Zealand. |
| The significant role was particularly during the Musket Wars. |
| The significant role was particularly during the interactions with European settlers. |
| Rangitēhi was born in the late 1780s. |
| His father was Te Kanawa. |
| Te Kanawa was a chief of Ngāti Maniapoto. |
| His mother was Hine-i. |
","[('born', 'the late 1780s')]"
101,Tell me a bio of Mohamed Abdi Mohamed," 

Mohamed Abdi Mohamed, also known as Mohamed Abdi, is a Somali politician who served as the Prime Minister of Somalia from 2010 to 2011. Here's a brief bio:

Early Life and Education:
Mohamed Abdi Mohamed was born in 1945 in Mogadishu, Italian Somaliland (now Somalia). He hails from the Hawiye clan. Mohamed received his primary education in Somalia before pursuing higher studies abroad. He holds a degree in economics from the University of Cairo, Egypt.

Career:
Mohamed began his career in the Somali government in the 1970s, serving in various","| Mohamed Abdi Mohamed is a Somali politician.	True |
| Mohamed Abdi Mohamed is also known as Mohamed Abdi.	True |
| Mohamed Abdi Mohamed served as the Prime Minister of Somalia.	False |
| Mohamed Abdi Mohamed served as the Prime Minister of Somalia from 2010 to 2011.	False |
| Early life.	True |
| Education.	True |
| Mohamed Abdi Mohamed was born in 1945.	False |
| Mohamed Abdi Mohamed was born in Mogadishu.	False |
| Mogadishu was part of Italian Somaliland.	False |
| Italian Somaliland is now Somalia.	True |
| He hails from.	True |
| He hails from the Hawiye clan.	True |
| Mohamed received his primary education in Somalia.	True |
| Mohamed pursued higher studies.	True |
| Mohamed pursued higher studies abroad.	True |
| Mohamed received his primary education in Somalia before pursuing higher studies abroad.	True |
| He holds a degree.	True |
| The degree is in economics.	False |
| The degree is from the University of Cairo.	False |
| The University of Cairo is in Egypt.	True |
| Mohamed began his career in the Somali government.	True |
| Mohamed began his career in the 1970s.	True |
| Mohamed served in various roles in the Somali government.	True |
","| Mohamed Abdi Mohamed served as the Prime Minister of Somalia. |
| Mohamed Abdi Mohamed served as the Prime Minister of Somalia from 2010 to 2011. |
| Mohamed Abdi Mohamed was born in 1945. |
| Mohamed Abdi Mohamed was born in Mogadishu. |
| Mogadishu was part of Italian Somaliland. |
| The degree is in economics. |
| The degree is from the University of Cairo. |
","[('born', '1945'), ('born', 'Mogadishu')]"
102,Tell me a bio of Griselda Blanco," 

Griselda Blanco Restrepo, also known as ""La Madrina"" or ""The Black Widow,"" was a Colombian drug lord who played a significant role in the Miami-based cocaine trade during the 1970s and 1980s. She was born on February 15, 1943, in Cartagena, Colombia.

Blanco's early life was marked by poverty and violence. She grew up on the streets, surviving by stealing and prostitution. At the age of 11, she allegedly stabbed her first victim, a 10-year-old boy who had tried to steal from her.

In the 1960s","| Griselda Blanco Restrepo was a Colombian.	True |
| Griselda Blanco Restrepo was a drug lord.	True |
| Griselda Blanco Restrepo was known as ""La Madrina"" or ""The Black Widow.""	True |
| Griselda Blanco Restrepo played a significant role in the Miami-based cocaine trade.	True |
| Griselda Blanco Restrepo played a significant role in the cocaine trade during the 1970s and 1980s.	True |
| She was born on February 15, 1943.	False |
| She was born in Cartagena.	False |
| She was born in Colombia.	True |
| Blanco's early life was marked by poverty.	True |
| Blanco's early life was marked by violence.	True |
| She grew up on the streets.	True |
| She survived by stealing.	True |
| She survived by prostitution.	True |
| She was 11 years old.	True |
| She allegedly stabbed her first victim.	False |
| The victim was a 10-year-old boy.	True |
| The boy had tried to steal from her.	False |
","| She was born on February 15, 1943. |
| She was born in Cartagena. |
| She allegedly stabbed her first victim. |
| The boy had tried to steal from her. |
","[('born', 'Cartagena')]"
103,Tell me a bio of Jimmy Weldon," 

Jimmy Weldon is an American voice actor, comedian, and ventriloquist. He was born on September 23, 1923, in Baton Rouge, Louisiana.

Weldon began his career as a ventriloquist at the age of 10, performing with his puppet ""Webster Webfoot"" at local talent shows and events. He later attended Louisiana State University, where he studied drama and speech.

After serving in the United States Army during World War II, Weldon moved to Los Angeles to pursue a career in show business. He worked as a radio disc jockey and later became a popular television personality, hosting","| Jimmy Weldon is an American.	True |
| Jimmy Weldon is a voice actor.	True |
| Jimmy Weldon is a comedian.	True |
| Jimmy Weldon is a ventriloquist.	True |
| He was born on September 23, 1923.	True |
| He was born in Baton Rouge.	False |
| He was born in Louisiana.	False |
| Weldon began his career as a ventriloquist.	False |
| He began his career at the age of 10.	False |
| He performed with his puppet ""Webster Webfoot.""	True |
| He performed at local talent shows.	True |
| He performed at events.	True |
| He attended Louisiana State University.	False |
| He studied drama at Louisiana State University.	False |
| He studied speech at Louisiana State University.	False |
| He later attended Louisiana State University.	False |
| He studied drama and speech at Louisiana State University.	False |
| Weldon served in the United States Army.	True |
| Weldon served in the United States Army during World War II.	True |
| Weldon moved to Los Angeles.	True |
| Weldon moved to Los Angeles to pursue a career in show business.	True |
| He worked as a radio disc jockey.	True |
| He became a popular television personality.	True |
| He hosted a show.	True |
","| He was born in Baton Rouge. |
| He was born in Louisiana. |
| Weldon began his career as a ventriloquist. |
| He began his career at the age of 10. |
| He attended Louisiana State University. |
| He studied drama at Louisiana State University. |
| He studied speech at Louisiana State University. |
| He later attended Louisiana State University. |
| He studied drama and speech at Louisiana State University. |
","[('born', 'Baton Rouge'), ('born', 'Louisiana')]"
106,Tell me a bio of Sofiane Feghouli," 

Sofiane Feghouli is an Algerian professional footballer who plays as a winger for Turkish Süper Lig club Galatasaray and the Algeria national team.

Born on December 26, 1989, in Levallois-Perret, France, Feghouli began his youth career at Red Star Paris before moving to Grenoble Foot 38. He made his professional debut for Grenoble in 2007 and played for the club until 2010.

In 2010, Feghouli joined Spanish La Liga side Valencia CF, where he spent six seasons, making over 200 appearances","| Sofiane Feghouli is an Algerian.	True |
| Sofiane Feghouli is a professional footballer.	True |
| Sofiane Feghouli plays as a winger.	True |
| Sofiane Feghouli plays for Galatasaray.	True |
| Galatasaray is a Turkish Süper Lig club.	True |
| Sofiane Feghouli plays for the Algeria national team.	True |
| Feghouli was born on December 26, 1989.	True |
| Feghouli was born in Levallois-Perret, France.	False |
| Feghouli began his youth career at Red Star Paris.	False |
| Feghouli moved to Grenoble Foot 38 from Red Star Paris.	True |
| He made his professional debut for Grenoble.	True |
| He made his professional debut for Grenoble in 2007.	True |
| He played for Grenoble.	True |
| He played for Grenoble until 2010.	True |
| He played for the club until 2010.	True |
| Feghouli joined Valencia CF.	True |
| Feghouli joined Valencia CF in 2010.	True |
| Valencia CF is a Spanish La Liga side.	True |
| Feghouli spent six seasons at Valencia CF.	True |
| Feghouli made over 200 appearances at Valencia CF.	True |
","| Feghouli was born in Levallois-Perret, France. |
| Feghouli began his youth career at Red Star Paris. |
","[('born', 'Levallois-Perret, France')]"
